Genre,Type,rouge_l_f1_n,rouge_l_f1_mean,jaccard_unigram_n,jaccard_unigram_mean,jaccard_bigram_n,jaccard_bigram_mean
business email,Within (Drift=False),6242,0.6057222493895963,6242,0.5430869219883935,6242,0.37358817368762126
business email,Boundary (Drift=True),8742,0.537521821437349,8742,0.4690817355489413,8742,0.28077212427865383
casual email,Within (Drift=False),7031,0.6842416590534294,7031,0.639096219016413,7031,0.5012850887022727
casual email,Boundary (Drift=True),9199,0.49167019942892143,9199,0.4569555279737559,9199,0.26709359846323943
linkedin post,Within (Drift=False),6823,0.6858865367205158,6823,0.6242257074260384,6823,0.50759804912275
linkedin post,Boundary (Drift=True),8927,0.3931535244187514,8927,0.3421246962253373,8927,0.1623782473239985
quotes/wishes,Within (Drift=False),5757,0.49244178640149633,5757,0.4221033058276253,5757,0.25451271978435636
quotes/wishes,Boundary (Drift=True),10943,0.33986023781184094,10943,0.28155990663298675,10943,0.10900755869066332
tweet,Within (Drift=False),5886,0.572326676501455,5886,0.4873843699489552,5886,0.3013018295324543
tweet,Boundary (Drift=True),9084,0.3856778448415066,9084,0.31417642516367517,9084,0.12829056924085408
Overall,Within (Drift=False),31739,0.6136087276769773,31739,0.5495232747689909,31739,0.39568060192239524
Overall,Boundary (Drift=True),46895,0.4255071876522736,46895,0.36877028044939997,46895,0.18593273872064214
